word,freq
complet,141
sherlock,388
holm,2508
arthur,42
tabl,285
content,56
studi,140
scarlet,15
sign,196
four,187
adventur,132
scandal,39
bohemia,13
red,163
head,493
leagu,23
case,715
ident,29
boscomb,16
valley,71
mysteri,163
five,202
orang,13
pip,13
man,2000
twist,39
lip,144
blue,79
carbuncl,8
speckl,8
band,39
engin,33
thumb,40
nobl,30
bachelor,22
beryl,12
coronet,29
copper,23
beech,16
memoir,8
silver,54
blaze,45
yellow,78
face,911
stock,30
broker,10
clerk,38
gloria,11
scott,33
musgrav,30
ritual,19
squir,15
crook,14
resid,38
patient,44
greek,24
interpret,17
naval,10
treati,20
final,141
problem,123
return,325
empti,84
hous,836
norwood,35
builder,10
danc,41
men,319
solitari,15
cyclist,16
priori,9
school,45
black,282
peter,48
charl,120
augustu,6
milverton,42
six,134
napoleon,22
three,434
student,29
golden,30
pinc,7
nez,7
miss,342
quarter,137
abbey,11
grang,12
second,194
stain,74
hound,97
baskervil,132
fear,277
hi,6910
last,677
bow,62
prefac,5
wisteria,15
lodg,191
cardboard,8
box,175
circl,47
bruce,9
partington,8
plan,102
die,149
detect,159
disappear,101
ladi,351
franc,46
carfax,9
devil,65
foot,300
part,257
mr,1661
scienc,24
deduct,49
lauriston,6
garden,127
john,119
ranc,10
tell,896
advertis,68
bring,424
visitor,117
tobia,4
gregson,74
show,452
light,527
dark,353
ii,13
great,500
alkali,6
plain,55
flower,22
utah,10
ferrier,65
talk,182
prophet,9
flight,35
life,354
aveng,19
angel,31
continu,148
reminisc,4
watson,814
conclus,93
h,29
late,176
armi,16
medic,49
depart,38
chapter,76
year,404
1878,4
take,1262
degre,19
doctor,172
medicin,8
univers,19
london,344
proceed,72
go,1288
cours,320
surgeon,22
wa,8476
duli,7
attach,31
fifth,10
northumberland,12
assist,87
regiment,14
station,157
india,31
time,981
befor,954
could,1640
join,54
afghan,6
war,36
break,288
land,76
learn,164
corp,4
advanc,63
pass,394
alreadi,253
deep,171
enemi,55
countri,225
follow,344
howev,499
mani,248
offic,185
situat,78
succeed,53
reach,237
safeti,31
find,1106
onc,499
enter,232
upon,2307
new,206
duti,89
campaign,14
honour,68
promot,4
noth,653
misfortun,28
disast,8
remov,53
berkshir,5
serv,78
fatal,28
battl,9
strike,210
shoulder,166
bullet,31
shatter,20
bone,29
graze,6
arteri,4
fall,145
hand,1132
murder,303
devot,44
courag,20
throw,272
across,237
pack,25
hors,151
safe,136
british,44
line,205
worn,43
pain,79
weak,61
prolong,7
hardship,7
undergon,5
train,189
wound,61
suffer,48
base,11
hospit,25
ralli,5
improv,15
far,360
abl,173
walk,338
ward,5
even,577
littl,919
fever,25
cur,40
indian,48
posse,96
month,130
despair,39
come,2043
becam,96
emaci,7
board,54
determin,82
day,749
lose,194
send,220
back,779
england,120
dispatch,15
accordingli,4
later,147
portsmouth,5
health,30
ruin,45
permiss,26
govern,34
spend,92
next,200
nine,66
attempt,87
neither,86
kin,5
therefor,140
free,64
air,140
incom,12
eleven,47
shill,25
permit,20
circumst,62
natur,218
lounger,6
idler,4
irresist,4
drain,11
stay,88
privat,80
hotel,110
strand,11
lead,268
exist,51
money,160
consider,128
freeli,15
ought,29
alarm,73
state,133
becom,111
soon,157
realiz,59
must,824
either,172
leav,366
metropoli,7
rustic,7
somewher,35
make,1152
alter,13
style,14
live,279
choos,37
latter,54
altern,34
begin,228
mind,371
less,146
expens,30
veri,1738
thi,3084
stand,515
bar,59
one,2313
tap,43
turn,572
round,467
recogn,54
young,416
stamford,13
sight,123
friendli,20
wilder,29
pleasant,31
thing,463
inde,228
lone,63
old,561
never,675
particular,88
mine,124
hail,16
enthusiasm,8
appear,384
delight,49
see,1622
joy,32
ask,738
lunch,32
holborn,5
start,221
togeth,262
hansom,30
whatev,81
wonder,126
rattl,43
crowd,47
street,416
thin,114
lath,5
brown,79
nut,9
give,859
short,162
sketch,23
hardli,249
conclud,18
destin,16
poor,151
say,3470
listen,126
look,960
answer,464
tri,206
solv,55
whether,141
possibl,338
get,928
comfort,38
room,1027
reason,299
price,38
strang,229
remark,416
companion,236
ha,1512
use,350
express,158
first,587
fellow,305
work,431
chemic,27
laboratori,11
morn,477
becaus,173
someon,104
nice,26
much,579
purs,12
jove,20
cri,578
realli,213
want,298
share,70
prefer,36
partner,14
alon,132
rather,261
wine,25
glass,143
know,1587
yet,488
perhap,221
would,1902
care,206
constant,10
whi,489
oh,225
anyth,296
queer,54
idea,157
enthusiast,8
branch,32
decent,7
enough,359
suppos,190
intend,47
believ,187
well,1331
anatomi,4
class,37
ani,846
systemat,10
desultori,4
eccentr,14
amass,5
lot,24
way,789
knowledg,94
astonish,80
professor,81
easi,98
draw,108
though,301
commun,66
fanci,95
seiz,61
like,712
meet,292
anyon,122
quiet,89
habit,77
strong,163
nois,25
excit,113
afghanistan,12
remaind,9
friend,568
avoid,37
place,496
week,186
el,173
night,762
shall,582
drive,278
luncheon,6
certainli,277
convers,72
drift,26
away,483
channel,9
gentleman,250
propos,36
lodger,33
blame,23
occasion,64
arrang,77
hold,331
respons,35
compani,97
seem,572
ad,49
hard,176
wash,14
matter,549
temper,27
formid,34
mouth,80
laugh,166
scientif,20
tast,28
approach,91
cold,119
blood,158
imagin,185
pinch,6
veget,7
alkaloid,5
malevol,4
understand,215
simpli,43
spirit,58
inquiri,112
order,186
accur,12
effect,115
justic,54
think,834
readi,131
passion,42
definit,45
exact,40
right,417
ye,564
may,965
push,94
excess,5
beat,74
subject,68
dissect,5
stick,99
bizarr,10
shape,45
verifi,9
bruis,6
produc,51
death,267
saw,513
eye,678
heaven,80
object,130
form,144
impress,147
speak,365
narrow,54
lane,60
small,406
side,429
door,721
open,547
wing,27
familiar,39
ground,145
need,167
guid,43
ascend,30
bleak,8
stone,117
staircas,7
long,597
corridor,52
whitewash,8
wall,141
dun,6
colour,86
near,160
end,437
low,165
arch,6
passag,100
lofti,7
chamber,47
litter,18
bottl,39
broad,108
scatter,36
bristl,22
retort,6
test,57
tube,12
lamp,140
flicker,14
flame,23
onli,933
bend,20
distant,32
absorb,34
sound,167
step,284
glanc,232
sprang,122
pleasur,44
shout,45
run,329
toward,154
us,1347
agent,71
precipit,11
discov,83
gold,62
shone,33
featur,129
dr,268
introduc,44
cordial,11
grip,39
strength,51
credit,38
perceiv,63
earth,82
chuckl,38
question,286
doubt,335
signific,11
discoveri,28
interest,343
practic,120
medico,4
legal,20
infal,5
coat,92
sleev,45
eager,60
drew,107
let,419
fresh,117
dig,22
finger,112
result,109
drop,127
add,34
quantiti,6
water,132
